基于FDM的3D打印工艺实验研究,"['宋凤莲', '黄亚', '盛宗建']",机电产品开发与创新,2021-09-28,期刊,,71
光固化3D打印有机硅材料的设计及性能研究,"['向洪平', '刘晓暄']",['2021第二十二届辐射固化年会论文报告集（部分）'],2021-09-27,中国会议,,22
聚己内酯多元醇在光固化3D打印领域中的新应用,['陈锐'],['2021第二十二届辐射固化年会论文报告集（部分）'],2021-09-27,中国会议,,15
热塑性可回收光固化3D打印材料,[],['2021第二十二届辐射固化年会论文报告集（部分）'],2021-09-27,中国会议,,3
一种基于螺环原碳酸酯化学原理降低LCD 3D打印体积收缩的有效策略,['林广鸿'],['2021第二十二届辐射固化年会论文报告集（部分）'],2021-09-27,中国会议,,2
展亭建造中机械臂层叠式3D打印方式的研究,"['王钰林', '朱瑞冉']",['智筑未来——2021年全国建筑院系建筑数字技术教学与研究学术研讨会论文集'],2021-09-26,中国会议,,
建筑物的3D打印：BIM可持续建筑的未来,"['施天驰', '何心一']",居舍,2021-09-25,期刊,,178
3D打印方法在柔性塑料加工的应用研究,['程睿'],塑料科技,2021-09-25,期刊,,41
基于RE的玩具汽车模型重构及3D打印,"['夏会芳', '汤剑', '吴娇', '朱凤霞', '汪芳']",现代制造技术与装备,2021-09-25,期刊,,16
3D打印技术在陶瓷工艺品设计开发中的应用,['杨德安'],丝网印刷,2021-09-25,期刊,,26
3D打印软硬切换技术最新面料研究,[],丝网印刷,2021-09-25,期刊,,1
塑像工艺品首模修复及LCD 3D打印研究,"['顾小莉', '王小元', '孟梅林', '陈伟栋', '汤汉宇']",新乡学院学报,2021-09-24,期刊,,45
赢创推出全新的INFINAM? 3D打印光敏树脂产品线,[],现代塑料,2021-09-24,期刊,,68
以回收料为原料的3D打印聚碳酸酯线材,[],现代塑料,2021-09-24,期刊,,89
3D打印技术在脑神经疾病中的应用进展,"['温稀超', '付美娟', '吴文松', '曾昭穆', '郑克彬']",医学综述,2021-09-23,期刊,,127
冷冻生物3D打印机搭建及生物活性材料打印研究,"['周奎', '赵逸宁', '王宗坤', '蔡永祺', '高玉欢', '', '刘豪', '王文琴']",实验技术与管理,2021-09-23,期刊,,160
3D打印Ti-6Al-4V钛合金表面纳米孔洞制备技术,"['王培', '李少龙', '张长伟', '罗倩']",表面技术,2021-09-20,期刊,,85
基于PTA的司太立粉末3D打印件的组织及性能研究,"['陈兴东', '杨兴荣', '郭洋', '王大勇', '裴伟平', '', '杨德存', 'XIONG Jiankun']",电焊机,2021-09-20,期刊,,12
3D打印材料PA-CF强度研究,['万海鑫'],阜阳职业技术学院学报,2021-09-20,期刊,,135
3D打印技术在钛合金构件生产中的应用,"['李渤渤', '田永武', '温方明', '乔海滨', '刘茵琪']",特种铸造及有色合金,2021-09-20,期刊,,154
多边形Voronoi图填充算法在3D打印中的研究,[],电脑编程技巧与维护,2021-09-18,期刊,,31
压电喷墨3D打印射频多层电路工艺,['阎德劲'],电子工艺技术,2021-09-18,期刊,,81
磨粒流技术在3D打印脊波导喇叭中的应用,"['高逸晖', '吴昕雷']",电子工艺技术,2021-09-18,期刊,,16
3D打印技术在医学相关领域的应用现状及展望,"['甘金华', '门华瑞', '张钟满', '胡超娅', '雷昊']",现代临床医学,2021-09-18,期刊,,729
建筑领域中3D打印技术的专利现状分析,['吴落'],绿色环保建材,2021-09-17,期刊,,327
基于3D打印技术影响成本和需求的双渠道供应链决策研究,"['仝萌', '李巍']",中国管理科学,2021-09-16,期刊,,361
3D打印氧化锆复合浆体的MRT LBM流动分析,"['孙健华', '顾海', '姜杰', '李彬']",计算机仿真,2021-09-15,期刊,,19
3D打印制件表面质量测试与对比分析,['王琛'],林业机械与木工设备,2021-09-15,期刊,,61
